Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-26 10:38:00,388.0,HKEX,2.43,740.04,503.79,154.96,89.8,-8.51,503.0
2025-05-26 10:38:00,1211.0,BYD COMPANY,-5.67,449.65,102.84,135.81,175.64,35.36,1334.0
2025-05-26 10:39:00,981.0,SMIC,2.63,297.64,86.14,103.52,61.85,46.11,343.0
2025-05-26 10:38:00,3690.0,MEITUAN-W,-4.75,248.62,-245.67,166.15,129.08,199.07,797.0
2025-05-26 10:38:00,883.0,CNOOC,1.12,191.61,99.81,38.35,25.75,27.7,856.0
2025-05-26 10:38:00,2318.0,PING AN,1.74,112.99,36.79,57.17,20.92,-1.9,850.0
2025-05-26 10:38:00,9988.0,BABA-W,0.51,109.32,47.12,148.28,-35.12,-50.96,2279.0
2025-05-26 10:39:00,9992.0,POP MART,1.09,96.01,7.56,36.04,7.17,45.25,298.0
2025-05-26 10:38:00,1398.0,ICBC,0.7,86.78,-16.19,34.79,36.18,32.0,2042.0
2025-05-26 10:38:00,941.0,CHINA MOBILE,1.44,65.4,50.29,19.29,5.5,-9.68,1899.0
2025-05-26 10:38:00,857.0,PETROCHINA,1.7,55.53,7.37,21.08,30.69,-3.61,1206.0
2025-05-26 10:38:00,9999.0,NTES-S,0.64,53.83,3.71,6.71,33.21,10.19,601.0
2025-05-26 10:38:00,386.0,SINOPEC CORP,0.72,48.27,0.0,11.9,17.11,19.25,512.0
2025-05-26 10:40:00,753.0,AIR CHINA,6.88,46.19,19.68,4.72,9.7,12.09,100.0
2025-05-26 10:40:00,763.0,ZTE,2.97,45.45,6.25,15.98,15.96,7.26,108.0
2025-05-26 10:38:00,3968.0,CM BANK,0.3,44.59,0.0,2.38,12.74,29.47,1257.0
2025-05-26 10:39:00,2601.0,CPIC,2.64,44.48,5.33,9.34,11.16,18.65,243.0
2025-05-26 10:39:00,1919.0,COSCO SHIP HOLD,0.13,43.04,12.63,-4.23,3.63,31.02,234.0
2025-05-26 10:38:00,1088.0,CHINA SHENHUA,1.52,41.67,1.73,2.49,12.54,24.9,666.0
