Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-28 14:49:00,1093.0,CSPC PHARMA,-0.58,197.99,7.05,13.12,7.58,170.23,79.0
2025-05-28 14:50:00,9698.0,GDS-SW,-9.45,190.36,91.39,14.95,22.87,61.13,37.0
2025-05-28 14:48:00,2057.0,ZTO EXPRESS-W,0.52,112.84,49.47,19.16,35.05,9.16,108.0
2025-05-28 14:53:00,1368.0,XTEP INT'L,7.45,110.77,34.11,15.3,9.97,51.39,17.0
2025-05-28 14:48:00,1801.0,INNOVENT BIO,1.09,110.01,4.79,13.61,8.01,83.6,99.0
2025-05-28 14:49:00,2319.0,MENGNIU DAIRY,2.17,88.99,5.83,38.8,11.37,32.99,70.0
2025-05-28 14:50:00,9896.0,MNSO,-1.44,84.93,5.3,28.22,26.37,25.04,42.0
2025-05-28 14:49:00,9626.0,BILIBILI-W,2.36,79.24,15.93,11.93,8.63,42.74,63.0
2025-05-28 14:48:00,1171.0,YANKUANG ENERGY,2.09,77.7,9.21,-6.23,-3.75,78.46,93.0
2025-05-28 14:48:00,316.0,OOIL,-0.21,65.7,1.38,7.6,-0.44,57.16,96.0
2025-05-28 14:54:00,179.0,JOHNSON ELEC H,-3.02,63.19,18.85,-0.23,3.73,40.84,19.0
2025-05-28 14:49:00,1519.0,J&T EXPRESS-W,3.76,54.86,15.7,3.04,4.9,31.21,61.0
2025-05-28 14:54:00,2276.0,CONANT OPTICAL,-0.64,46.26,30.94,7.29,0.36,7.68,15.0
2025-05-28 14:48:00,6862.0,HAIDILAO,2.17,42.64,-3.75,-10.62,5.83,51.18,84.0
2025-05-28 14:55:00,2507.0,CIRRUS,11.07,38.79,18.19,4.13,5.87,10.59,12.0
2025-05-28 14:49:00,6186.0,CHINA FEIHE,2.62,36.65,13.5,10.04,1.95,11.15,57.0
2025-05-28 14:48:00,1055.0,CHINA SOUTH AIR,2.56,36.51,11.2,4.23,4.72,16.35,73.0
2025-05-28 14:48:00,6969.0,SMOORE INTL,-2.33,35.7,8.53,-6.49,11.73,21.93,119.0
2025-05-28 14:49:00,135.0,KUNLUN ENERGY,-0.12,30.94,-23.19,15.38,26.6,12.15,72.0
2025-05-28 14:51:00,489.0,DONGFENG GROUP,1.95,30.66,10.58,1.69,6.97,11.42,35.0
2025-05-28 14:49:00,9866.0,NIO-SW,-1.23,30.45,15.73,2.15,6.8,5.77,63.0
2025-05-28 14:53:00,6060.0,ZA ONLINE,3.06,28.91,22.08,13.53,7.53,-14.24,24.0
2025-05-28 14:50:00,412.0,SDHG,1.55,25.14,-5.29,27.35,1.54,1.54,63.0
2025-05-28 14:50:00,1138.0,COSCO SHIP ENGY,2.81,23.06,19.05,4.2,0.37,-0.56,30.0
2025-05-28 14:51:00,1357.0,MEITU,-1.4,22.0,2.57,-4.44,-7.02,30.89,29.0
2025-05-28 14:53:00,9636.0,JF SMARTINVEST,2.41,21.87,-1.27,0.67,11.4,11.06,18.0
2025-05-28 14:49:00,2618.0,JD LOGISTICS,2.88,21.39,8.35,5.16,6.0,1.88,81.0
2025-05-28 14:54:00,1579.0,YIHAI INTL,7.7,19.71,3.44,1.58,7.22,7.46,15.0
2025-05-28 14:49:00,241.0,ALI HEALTH,1.11,19.62,0.69,7.07,6.63,5.23,73.0
2025-05-28 14:49:00,1157.0,ZOOMLION,1.58,19.47,1.79,2.87,2.04,12.77,50.0
2025-05-28 14:53:00,2218.0,ANDRE JUICE,1.34,18.88,9.43,4.8,2.65,2.0,6.0
2025-05-28 14:50:00,2208.0,GOLDWIND,4.76,18.63,6.5,4.18,6.87,1.08,25.0
2025-05-28 14:49:00,144.0,CHINA MER PORT,1.35,18.61,9.53,2.3,1.61,5.17,63.0
2025-05-28 14:54:00,6069.0,SY HOLDINGS,0.52,18.34,-4.04,11.9,10.81,-0.32,12.0
2025-05-28 14:50:00,9985.0,WL DELICIOUS,-1.67,17.7,3.2,1.9,-0.17,12.76,37.0
2025-05-28 14:48:00,670.0,CHINA EAST AIR,2.72,16.41,8.77,3.37,3.82,0.44,67.0
2025-05-28 14:51:00,317.0,COMEC,3.95,15.23,3.6,3.94,6.26,1.43,16.0
2025-05-28 14:52:00,371.0,BJ ENT WATER,0.0,14.81,4.6,0.34,-1.2,11.07,26.0
2025-05-28 14:48:00,6823.0,HKT-SS,-0.18,14.47,-3.09,-0.27,4.67,13.16,86.0
2025-05-28 14:54:00,667.0,CHINA EAST EDU,-4.35,14.46,1.51,-6.61,0.9,18.66,14.0
2025-05-28 14:48:00,2367.0,GIANT BIOGENE,-0.93,14.24,11.3,-8.66,-9.17,20.77,74.0
2025-05-28 14:55:00,1907.0,CHINA RISUN GP,0.39,13.94,3.82,5.68,2.04,2.4,11.0
2025-05-28 14:48:00,2600.0,CHALCO,1.52,13.86,1.83,-0.46,-2.13,14.62,80.0
2025-05-28 14:48:00,288.0,WH GROUP,-0.56,13.84,-2.78,0.81,-7.49,23.3,91.0
2025-05-28 14:51:00,1128.0,WYNN MACAU,0.95,13.57,3.87,5.37,0.09,4.24,28.0
2025-05-28 14:52:00,867.0,CMS,0.0,12.91,2.48,-2.62,7.69,5.36,25.0
2025-05-28 14:50:00,1530.0,3SBIO,-3.01,11.73,-0.39,17.98,-8.91,3.06,45.0
2025-05-28 14:51:00,512.0,GRAND PHARMA,-1.67,11.71,4.42,0.08,-0.82,8.03,31.0
2025-05-28 14:52:00,6110.0,TOPSPORTS,3.2,11.51,2.82,0.68,-2.51,10.53,18.0
2025-05-28 14:56:00,3738.0,VOBILE GROUP,-1.15,11.13,-0.86,4.28,-1.94,9.65,8.0
2025-05-28 14:55:00,1558.0,HEC CJ PHARM,-0.54,11.03,2.46,1.83,1.01,5.72,13.0
2025-05-28 14:53:00,1114.0,BRILLIANCE CHI,0.0,10.68,-2.51,2.29,3.74,7.15,16.0
2025-05-28 14:50:00,2331.0,LI NING,1.45,10.64,5.97,1.62,-6.11,9.16,40.0
2025-05-28 14:49:00,1099.0,SINOPHARM,0.86,10.49,0.0,4.57,0.13,5.79,58.0
2025-05-28 14:50:00,1821.0,ESR,-0.16,10.29,10.86,0.4,0.05,-1.02,54.0
2025-05-28 14:50:00,780.0,TONGCHENGTRAVEL,-0.69,9.86,3.87,4.16,-5.35,7.18,51.0
2025-05-28 14:49:00,9901.0,NEW ORIENTAL-S,-1.61,9.68,2.07,14.44,-3.55,-3.29,60.0
2025-05-28 14:54:00,586.0,CONCH VENTURE,0.24,9.37,-2.25,-0.11,2.97,8.76,15.0
2025-05-28 14:53:00,1686.0,SUNEVISION,0.94,9.05,-2.9,0.15,5.55,6.26,15.0
2025-05-28 14:51:00,552.0,CHINACOMSERVICE,1.12,8.95,-3.62,1.43,2.75,8.39,31.0
2025-05-28 14:50:00,2282.0,MGM CHINA,2.49,8.74,1.31,3.63,2.17,1.63,42.0
2025-05-28 14:56:00,596.0,INSPUR DIGI ENT,4.62,8.29,2.47,-0.49,0.87,5.44,10.0
2025-05-28 14:50:00,3898.0,TIMES ELECTRIC,-0.15,7.96,4.51,-1.51,0.98,3.98,46.0
2025-05-28 14:55:00,570.0,TRAD CHI MED,0.91,7.26,4.74,2.28,1.5,-1.25,11.0
2025-05-28 14:52:00,6979.0,ZJLD,1.09,7.2,1.3,3.09,1.0,1.82,22.0
2025-05-28 14:48:00,1876.0,BUD APAC,3.76,7.1,2.05,-4.42,1.06,8.4,110.0
2025-05-28 14:52:00,2587.0,HEALTHYWAY INC,0.15,7.1,5.07,1.25,0.26,0.51,29.0
2025-05-28 14:52:00,2099.0,CHINAGOLDINTL,-1.53,7.07,-1.75,1.78,5.22,1.82,24.0
2025-05-28 14:56:00,1117.0,CH MODERN D,3.81,6.28,6.12,-1.2,0.16,1.2,9.0
2025-05-28 14:52:00,257.0,EB ENVIRONMENT,1.31,6.21,1.72,-0.51,-1.37,6.37,24.0
2025-05-28 14:53:00,107.0,SICHUAN EXPRESS,1.04,6.11,2.49,1.1,2.56,-0.03,15.0
2025-05-28 14:51:00,23.0,BANK OF E ASIA,-0.54,6.09,2.97,1.09,0.96,1.06,29.0
2025-05-28 14:51:00,548.0,SHENZHENEXPRESS,0.6,5.54,4.45,-0.23,0.6,0.71,17.0
2025-05-28 14:52:00,3939.0,WANGUO GOLD GP,1.01,5.52,-0.31,1.3,1.65,2.89,27.0
2025-05-28 14:55:00,1196.0,REALORD GROUP,0.0,5.35,0.0,0.51,0.02,4.82,10.0
2025-05-28 14:52:00,522.0,ASMPT,0.86,5.35,2.32,0.05,1.36,1.63,22.0
2025-05-28 14:51:00,598.0,SINOTRANS,1.61,5.23,3.1,2.05,0.91,-0.82,28.0
2025-05-28 14:49:00,960.0,LONGFOR GROUP,-0.31,5.1,-2.25,4.92,3.52,-1.1,68.0
2025-05-28 14:55:00,9658.0,SUPER HI,2.46,5.08,0.43,0.59,0.58,3.48,10.0
2025-05-28 14:52:00,917.0,QUNABOX GROUP,0.34,5.06,0.0,2.63,-0.03,2.46,24.0
2025-05-28 14:53:00,546.0,FUFENG GROUP,0.87,4.75,0.0,1.62,-0.61,3.74,17.0
2025-05-28 14:54:00,2589.0,AUNTEA JENNY,0.32,4.46,0.0,3.19,0.22,1.05,13.0
2025-05-28 14:52:00,2696.0,HENLIUS,2.22,4.41,0.0,0.97,1.68,1.76,24.0
2025-05-28 14:51:00,1908.0,C&D INTL GROUP,1.03,4.28,0.0,-0.85,0.35,4.78,28.0
2025-05-28 14:48:00,6.0,POWER ASSETS,-0.51,4.27,-2.62,5.1,0.59,1.19,104.0
2025-05-28 14:51:00,683.0,KERRY PPT,1.09,4.18,0.0,0.52,-0.69,4.35,27.0
2025-05-28 14:49:00,177.0,JIANGSU EXPRESS,2.18,4.18,1.97,1.05,0.98,0.19,52.0
2025-05-28 14:56:00,336.0,HUABAO INTL,2.99,4.04,-0.26,1.5,1.01,1.78,9.0
2025-05-28 14:48:00,19.0,SWIRE PACIFIC A,-0.22,4.02,2.01,4.37,-1.5,-0.86,52.0
2025-05-28 14:53:00,10.0,HANG LUNG GROUP,0.18,4.01,2.46,0.31,-0.13,1.37,15.0
2025-05-28 14:54:00,3330.0,LINGBAO GOLD,0.36,4.0,0.0,3.77,1.18,-0.96,14.0
2025-05-28 14:48:00,1929.0,CHOW TAI FOOK,0.72,3.81,0.0,0.35,1.73,1.73,112.0
2025-05-28 14:52:00,525.0,GUANGSHEN RAIL,2.27,3.71,2.38,0.28,-0.37,1.42,13.0
2025-05-28 14:48:00,1186.0,CHINA RAIL CONS,0.38,3.67,2.75,0.93,0.02,-0.02,71.0
2025-05-28 14:48:00,9863.0,LEAPMOTOR,-0.53,3.63,10.91,15.24,-7.46,-15.05,76.0
2025-05-28 14:51:00,9688.0,ZAI LAB,0.62,3.58,-3.15,-1.31,-0.86,8.9,27.0
2025-05-28 14:54:00,694.0,BEIJING AIRPORT,2.5,3.54,2.96,-0.79,-1.15,2.52,13.0
2025-05-28 14:52:00,2096.0,SIMCERE PHARMA,-0.72,3.52,-13.73,0.65,-0.72,17.31,27.0
2025-05-28 14:54:00,303.0,VTECH HOLDINGS,-0.67,3.48,-0.08,0.69,1.15,1.72,13.0
2025-05-28 14:50:00,6963.0,SUNSHINE INS,0.94,3.38,1.46,1.06,0.27,0.58,37.0
2025-05-28 14:48:00,1928.0,SANDS CHINA LTD,2.05,3.36,2.41,-8.58,-3.5,13.02,125.0
2025-05-28 14:50:00,1359.0,CHINA CINDA,0.98,3.25,3.09,1.53,2.5,-3.87,39.0
2025-05-28 14:52:00,6098.0,CG SERVICES,1.36,3.23,0.0,0.0,-2.86,6.1,22.0
2025-05-28 14:55:00,41.0,GREAT EAGLE H,1.78,3.08,1.22,0.35,0.2,1.31,10.0
2025-05-28 14:51:00,3347.0,TIGERMED,-2.66,3.08,0.63,-2.67,-0.4,5.52,25.0
2025-05-28 14:52:00,1910.0,SAMSONITE,2.55,3.02,2.78,3.26,0.04,-3.06,20.0
2025-05-28 14:48:00,916.0,CHINA LONGYUAN,-0.89,2.98,2.01,0.87,0.96,-0.86,56.0
2025-05-28 14:52:00,2432.0,DOBOT,0.98,2.97,0.29,-0.08,-1.05,3.82,25.0
2025-05-28 14:53:00,6808.0,SUNART RETAIL,4.13,2.96,-0.16,1.39,-0.05,1.79,22.0
2025-05-28 14:53:00,123.0,YUEXIU PROPERTY,1.16,2.84,1.0,-0.96,2.03,0.77,18.0
2025-05-28 14:55:00,9699.0,SF INTRA-CITY,8.5,2.82,-1.42,3.57,2.42,-1.75,12.0
2025-05-28 14:55:00,590.0,LUK FOOK HOLD,1.98,2.78,1.17,0.7,-0.1,1.0,11.0
2025-05-28 14:52:00,1548.0,GENSCRIPT BIO,0.63,2.75,14.38,-6.73,-10.84,5.93,28.0
2025-05-28 14:49:00,151.0,WANT WANT CHINA,0.58,2.65,0.75,-0.39,0.56,1.73,62.0
2025-05-28 14:56:00,1065.0,TIANJIN CAPITAL,0.57,2.64,1.93,0.14,0.28,0.29,6.0
2025-05-28 14:51:00,1882.0,HAITIAN INT'L,0.21,2.62,0.0,0.34,0.55,1.72,31.0
2025-05-28 14:50:00,1193.0,CHINA RES GAS,0.0,2.6,2.66,0.66,-6.34,5.62,51.0
2025-05-28 14:51:00,868.0,XINYI GLASS,-0.79,2.57,0.97,3.01,1.23,-2.64,33.0
2025-05-28 14:56:00,3983.0,CHINA BLUECHEM,2.01,2.54,0.59,2.07,0.72,-0.84,9.0
2025-05-28 14:49:00,3311.0,CHINA STATE CON,-0.36,2.5,0.66,1.61,0.38,-0.15,58.0
2025-05-28 14:56:00,6681.0,BRAINAURORA-B,-0.44,2.49,0.0,1.11,0.21,1.17,9.0
2025-05-28 14:55:00,1783.0,ENVISION GREEN,0.12,2.36,1.32,-0.18,0.61,0.6,11.0
2025-05-28 14:49:00,2607.0,SH PHARMA,1.07,2.23,0.0,1.57,-2.82,3.47,42.0
2025-05-28 14:53:00,631.0,SANY INT'L,0.72,2.15,2.57,0.58,-0.8,-0.19,18.0
2025-05-28 14:52:00,6993.0,BLUE MOON GROUP,0.0,2.12,0.55,0.99,0.37,0.2,23.0
2025-05-28 14:56:00,2506.0,XUNFEIHEALTH,0.86,2.12,-0.11,1.96,0.37,-0.1,14.0
2025-05-28 14:53:00,9969.0,INNOCARE,0.58,2.1,0.75,-0.51,-1.37,3.22,18.0
2025-05-28 14:52:00,3360.0,FE HORIZON,-0.65,2.09,0.0,0.38,1.24,0.47,27.0
2025-05-28 14:50:00,2380.0,CHINA POWER,-0.31,2.05,4.51,-0.51,-2.17,0.21,39.0
2025-05-28 14:52:00,3933.0,UNITED LAB,-1.72,2.03,-0.86,5.58,-2.92,0.22,25.0
2025-05-28 14:55:00,1164.0,CGN MINING,2.86,2.03,-19.79,-17.53,-1.17,40.52,14.0
2025-05-28 14:50:00,1585.0,YADEA,-3.04,1.94,-1.06,8.89,5.65,-11.54,38.0
2025-05-28 14:52:00,6655.0,HUAXIN CEMENT,-0.34,1.94,0.69,0.99,0.16,0.09,19.0
2025-05-28 14:55:00,1277.0,KINETIC DEV,0.0,1.93,0.73,-0.46,1.58,0.08,10.0
2025-05-28 14:56:00,9858.0,YOURAN DAIRY,0.0,1.91,0.0,1.16,1.22,-0.47,10.0
2025-05-28 14:56:00,440.0,DAH SING,0.87,1.88,0.99,0.56,-0.7,1.03,9.0
2025-05-28 14:48:00,1179.0,HWORLD-S,1.6,1.81,-1.41,1.01,0.41,1.81,87.0
2025-05-28 14:49:00,2883.0,CHINA OILFIELD,0.96,1.8,0.0,0.77,-1.61,2.64,30.0
2025-05-28 14:54:00,2689.0,ND PAPER,-0.66,1.79,0.0,0.52,2.13,-0.86,14.0
2025-05-28 14:51:00,3323.0,CNBM,0.29,1.71,0.0,-1.8,2.26,1.25,26.0
2025-05-28 14:52:00,142.0,FIRST PACIFIC,-0.18,1.63,0.0,0.0,0.92,0.72,23.0
2025-05-28 14:54:00,1405.0,DPC DASH,-1.15,1.59,-0.98,-1.8,1.58,2.79,12.0
2025-05-28 14:52:00,323.0,MAANSHAN IRON,0.57,1.56,0.0,0.93,0.48,0.16,14.0
2025-05-28 14:50:00,392.0,BEIJING ENT,0.15,1.46,0.0,0.0,-0.11,1.57,42.0
2025-05-28 14:55:00,3877.0,CSSC SHIPPING,1.09,1.4,0.0,-0.4,1.05,0.76,12.0
2025-05-28 14:51:00,564.0,ZMJ,0.4,1.39,1.59,0.5,-0.86,0.16,27.0
2025-05-28 14:51:00,956.0,CHINA SUNTIEN,-0.24,1.32,0.0,0.23,0.33,0.75,18.0
2025-05-28 14:55:00,9993.0,RADIANCE HLDGS,-2.27,1.24,1.63,0.06,-0.27,-0.19,10.0
2025-05-28 14:55:00,1330.0,DYNAGREEN ENV,1.35,1.21,0.4,0.58,-0.13,0.37,6.0
2025-05-28 14:49:00,2238.0,GAC GROUP,-0.36,1.19,1.43,-0.93,1.53,-0.84,28.0
2025-05-28 14:56:00,2314.0,LEE & MAN PAPER,0.0,1.18,0.0,0.32,0.43,0.43,9.0
2025-05-28 14:51:00,3866.0,BQD,-1.77,1.18,1.27,-0.37,0.15,0.12,23.0
2025-05-28 14:55:00,1921.0,DALIPAL HLDG,-0.56,1.16,-0.26,-0.13,0.11,1.43,11.0
2025-05-28 14:53:00,811.0,XINHUA WINSHARE,0.73,1.15,0.35,-0.16,0.7,0.27,14.0
2025-05-28 14:54:00,2128.0,CHINA LESSO,0.0,1.12,0.0,0.0,0.08,1.04,12.0
2025-05-28 14:55:00,3633.0,ZHONGYU ENERGY,0.48,1.1,0.51,0.43,-0.07,0.23,12.0
2025-05-28 14:52:00,347.0,ANGANG STEEL,-0.62,1.07,0.0,0.19,0.47,0.41,15.0
2025-05-28 14:54:00,636.0,KLN,2.38,1.06,0.7,0.26,-0.08,0.19,14.0
2025-05-28 14:51:00,2145.0,CHICMAX,1.24,1.05,-3.75,-0.07,-1.88,6.76,26.0
2025-05-28 14:48:00,168.0,TSINGTAO BREW,1.18,1.01,0.23,10.11,12.01,-21.34,76.0
2025-05-28 14:51:00,2460.0,CR BEVERAGE,0.61,0.99,0.0,1.31,1.49,-1.81,32.0
2025-05-28 14:52:00,1066.0,WEIGAO GROUP,0.35,0.86,0.0,-0.64,0.21,1.28,26.0
2025-05-28 14:50:00,3698.0,HUISHANG BANK,-0.32,0.82,1.26,0.15,-0.2,-0.39,43.0
2025-05-28 14:51:00,656.0,FOSUN INTL,1.67,0.77,1.17,-1.13,-0.61,1.34,35.0
2025-05-28 14:55:00,2666.0,UNI MEDICAL,0.0,0.75,0.0,0.37,-0.58,0.96,10.0
2025-05-28 14:50:00,8.0,PCCW,-0.58,0.74,0.0,-0.34,1.86,-0.78,40.0
2025-05-28 14:49:00,991.0,DATANG POWER,-0.52,0.73,0.0,0.41,-0.24,0.56,35.0
