Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-06-03 11:46:00,165.0,CHINA EB LTD,22.98,104.98,19.8,21.16,24.8,39.21,10.0
2025-06-03 11:45:00,2186.0,LUYE PHARMA,7.76,53.06,41.96,6.31,1.91,2.87,10.0
2025-06-03 11:46:00,2172.0,MICROPORT NEURO,10.96,24.54,9.31,4.92,7.28,3.03,7.0
2025-06-03 11:55:00,3678.0,HOLLY FUTURES,5.92,18.44,5.47,6.36,1.67,4.94,3.0
2025-06-03 11:46:00,1691.0,JS GLOBAL LIFE,2.01,13.66,9.05,2.91,-0.8,2.5,7.0
2025-06-03 11:47:00,9885.0,YSB,6.25,11.9,2.39,-1.75,1.34,9.92,7.0
2025-06-03 11:47:00,777.0,NETDRAGON,6.36,11.52,7.04,1.88,1.56,1.05,5.0
2025-06-03 11:48:00,2453.0,CONCORD HC GP,8.62,9.35,1.38,2.96,3.82,1.2,5.0
2025-06-03 11:50:00,9959.0,LINKLOGIS-W,8.51,8.41,1.43,2.52,2.55,1.91,3.0
2025-06-03 11:45:00,2419.0,DEKON AGR,11.06,8.26,4.01,-2.84,1.44,5.64,30.0
2025-06-03 11:48:00,1051.0,G-RESOURCES,1.38,7.56,6.0,0.0,1.34,0.22,4.0
2025-06-03 11:45:00,2142.0,HBM HOLDINGS-B,-2.58,7.43,2.06,4.14,-0.08,1.3,8.0
2025-06-03 11:47:00,327.0,PAX GLOBAL,6.09,7.19,2.31,3.76,0.64,0.48,5.0
2025-06-03 11:46:00,839.0,CHINA EDU GROUP,5.86,7.14,0.76,0.64,1.19,4.54,8.0
2025-06-03 11:45:00,1681.0,CONSUN PHARMA,1.48,6.91,4.7,1.42,0.21,0.58,9.0
2025-06-03 11:45:00,2586.0,DMALL,2.72,5.95,3.7,0.37,1.42,0.45,10.0
2025-06-03 11:58:00,2533.0,BLACK SESAME,2.99,5.68,3.09,1.3,2.54,-1.26,12.0
2025-06-03 11:54:00,1349.0,FUDANZHANGJIANG,3.33,4.97,0.48,1.92,1.41,1.16,3.0
2025-06-03 11:46:00,1610.0,COFCO JOYCOME,4.2,4.59,4.54,0.06,2.39,-2.41,7.0
2025-06-03 11:46:00,1302.0,LIFETECH SCI,1.92,4.48,0.0,1.34,2.49,0.65,7.0
2025-06-03 11:48:00,6683.0,STARPLUS LEGEND,4.09,4.34,-0.67,0.5,0.78,3.73,5.0
