Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-28 15:37:15,MSFT,Microsoft,-0.38,-166.0,0.0,-95.0,-71.0,0.0,3411
2025-05-28 15:37:18,NVDA,Nvidia,0.18,-473.0,0.0,76.0,-440.0,-109.0,3311
2025-05-28 15:37:21,AAPL,Apple,0.48,-1.0,0.0,-44.0,1.0,42.0,3005
2025-05-28 15:37:19,AMZN,Amazon,-0.32,-35.0,0.0,-48.0,9.0,4.0,2180
2025-05-28 15:37:24,GOOG,Alphabet,0.28,-7.0,0.0,-14.0,-3.0,10.0,2117
2025-05-28 15:37:26,GOOGL,Alphabet,0.28,-58.0,0.0,-52.0,-13.0,7.0,2104
2025-05-28 15:37:20,META,Meta,0.39,146.0,0.0,80.0,66.0,0.0,1621
2025-05-28 15:37:30,TSLA,Tesla,-0.05,537.0,0.0,202.0,272.0,63.0,1168
2025-05-28 15:37:30,AVGO,Broadcom,0.0,-89.0,0.0,-35.0,-32.0,-22.0,1108
2025-05-28 15:37:31,WMT,Walmart,-0.16,14.0,0.0,-1.0,4.0,11.0,779
2025-05-28 15:37:32,JPM,Jpmorgan,-0.84,-15.0,0.0,-9.0,-8.0,2.0,731
2025-05-28 15:37:23,LLY,Lilly,-1.15,-4.0,0.0,5.0,-9.0,0.0,679
2025-05-28 15:37:23,V,Visa,-0.33,-10.0,0.0,1.0,-7.0,-4.0,661
2025-05-28 15:37:31,MA,Mastercard,-0.16,21.0,0.0,3.0,18.0,0.0,521
2025-05-28 15:37:14,NFLX,Netflix,-0.18,-17.0,0.0,-1.0,-16.0,0.0,515
2025-05-28 15:37:42,XOM,Exxon,-1.28,-17.0,0.0,-7.0,2.0,-12.0,440
2025-05-28 15:37:45,COST,Costco,-0.16,-15.0,0.0,1.0,-16.0,0.0,451
2025-05-28 15:37:50,ORCL,Oracle,-0.2,0.0,0.0,-3.0,1.0,2.0,453
2025-05-28 15:37:48,PG,Procter,-0.17,17.0,0.0,1.0,8.0,8.0,393
2025-05-28 15:37:25,HD,Home,-0.44,-4.0,0.0,-4.0,-0.0,0.0,367
2025-05-28 15:37:50,JNJ,Johnson,-0.51,16.0,0.0,5.0,3.0,8.0,367
2025-05-28 15:37:55,BAC,Bank,-0.57,-24.0,0.0,6.0,-12.0,-18.0,331
2025-05-28 15:38:00,ABBV,Abbvie,-0.6,0.0,0.0,-5.0,5.0,-0.0,326
2025-05-28 15:38:01,KO,Coca,-0.74,-8.0,0.0,-4.0,1.0,-5.0,307
2025-05-28 15:38:04,PLTR,Palantir,0.62,-18.0,0.0,-32.0,10.0,4.0,293
2025-05-28 15:38:06,CRM,Salesforce,-0.76,-36.0,0.0,-6.0,-10.0,-20.0,264
2025-05-28 15:38:01,TMUS,T,-0.85,-5.0,0.0,-0.0,-2.0,-3.0,274
2025-05-28 15:38:07,PM,Philip,-0.37,2.0,0.0,2.0,3.0,-3.0,278
2025-05-28 15:38:09,UNH,Unitedhealth,2.49,211.0,0.0,25.0,131.0,55.0,274
2025-05-28 15:38:12,CSCO,Cisco,-0.69,-8.0,0.0,-5.0,-3.0,-0.0,251
