Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-30 16:24:21,MSFT,Microsoft,-0.15,146.0,0.0,93.0,53.0,0.0,3404
2025-05-30 16:24:25,NVDA,Nvidia,-3.58,-1127.0,0.0,-92.0,-830.0,-205.0,3275
2025-05-30 16:24:27,AAPL,Apple,-0.81,-97.0,0.0,-68.0,-12.0,-17.0,2962
2025-05-30 16:24:28,AMZN,Amazon,-0.98,-32.0,0.0,-37.0,15.0,-10.0,2162
2025-05-30 16:24:29,GOOG,Alphabet,-1.45,-44.0,0.0,-23.0,-10.0,-11.0,2068
2025-05-30 16:24:30,GOOGL,Alphabet,-1.46,2.0,0.0,-11.0,-6.0,19.0,2055
2025-05-30 16:24:33,META,Meta,-0.53,-103.0,0.0,-67.0,-36.0,0.0,1613
2025-05-30 16:24:35,TSLA,Tesla,-0.65,1041.0,0.0,154.0,730.0,157.0,1147
2025-05-30 16:24:33,AVGO,Broadcom,-1.6,40.0,0.0,42.0,7.0,-9.0,1119
2025-05-30 16:24:34,WMT,Walmart,0.78,15.0,0.0,9.0,6.0,-0.0,783
2025-05-30 16:24:38,JPM,Jpmorgan,-0.1,0.0,0.0,-4.0,0.0,4.0,734
2025-05-30 16:24:36,LLY,Lilly,1.43,84.0,0.0,16.0,68.0,0.0,695
2025-05-30 16:24:39,V,Visa,0.27,28.0,0.0,-2.0,14.0,16.0,670
2025-05-30 16:24:28,MA,Mastercard,0.15,19.0,0.0,9.0,10.0,0.0,525
2025-05-30 16:24:42,NFLX,Netflix,0.21,44.0,0.0,19.0,25.0,0.0,505
2025-05-30 16:24:46,XOM,Exxon,-1.25,28.0,0.0,15.0,11.0,2.0,437
2025-05-30 16:24:43,COST,Costco,3.89,53.0,0.0,8.0,45.0,0.0,465
2025-05-30 16:24:42,ORCL,Oracle,0.04,-12.0,0.0,-1.0,-7.0,-4.0,457
2025-05-30 16:24:45,PG,Procter,0.55,-46.0,0.0,-43.0,0.0,-3.0,397
2025-05-30 16:24:47,HD,Home,-0.14,-12.0,0.0,3.0,-7.0,-8.0,366
2025-05-30 16:24:53,JNJ,Johnson,0.74,13.0,0.0,5.0,4.0,4.0,372
2025-05-30 16:24:54,BAC,Bank,-0.52,-24.0,0.0,-1.0,-12.0,-11.0,331
2025-05-30 16:24:35,ABBV,Abbvie,-0.3,-29.0,0.0,-20.0,-1.0,-8.0,327
2025-05-30 16:24:59,KO,Coca,0.48,-3.0,0.0,-0.0,-1.0,-2.0,309
2025-05-30 16:25:00,PLTR,Palantir,4.64,290.0,0.0,19.0,170.0,101.0,302
2025-05-30 16:24:58,CRM,Salesforce,-1.5,-82.0,0.0,-10.0,-42.0,-30.0,252
2025-05-30 16:24:46,TMUS,T,1.78,13.0,0.0,6.0,3.0,4.0,276
2025-05-30 16:25:03,PM,Philip,1.06,-9.0,0.0,-10.0,3.0,-2.0,280
2025-05-30 16:25:04,UNH,Unitedhealth,1.54,103.0,0.0,1.0,85.0,17.0,275
2025-05-30 16:25:06,CSCO,Cisco,-0.71,-15.0,0.0,-1.0,-9.0,-5.0,248
2025-05-30 16:25:07,CVX,Chevron,-1.67,20.0,0.0,10.0,4.0,6.0,237
2025-05-30 16:24:53,IBM,International,-0.09,5.0,0.0,2.0,2.0,1.0,240
2025-05-30 16:25:10,WFC,Wells,-0.25,-6.0,0.0,-3.0,1.0,-4.0,242
2025-05-30 16:25:08,GE,GE,-0.11,-16.0,0.0,-7.0,-8.0,-1.0,260
2025-05-30 16:25:12,ABT,Abbott,-0.06,9.0,0.0,-1.0,5.0,5.0,231
2025-05-30 16:24:57,MCD,McDonalds,0.07,-9.0,0.0,-1.0,-5.0,-3.0,223
2025-05-30 16:23:35,LIN,Linde,-0.41,-22.0,0.0,-1.0,-21.0,0.0,218
2025-05-30 16:24:57,NOW,Servicenow,-0.53,1.0,0.0,-2.0,3.0,0.0,209
2025-05-30 16:25:13,MS,Morgan,-0.66,-1.0,0.0,1.0,1.0,-3.0,204
2025-05-30 16:25:17,AXP,American,-0.57,12.0,0.0,4.0,2.0,6.0,206
2025-05-30 16:25:22,DIS,Walt,0.46,27.0,0.0,12.0,8.0,7.0,202
2025-05-30 16:25:23,ISRG,Intuitive,-1.09,0.0,0.0,2.0,-2.0,0.0,197
2025-05-30 16:25:27,T,At&T,0.88,-24.0,0.0,-1.0,-19.0,-4.0,199
2025-05-30 16:25:12,ACN,Accenture,-0.65,13.0,0.0,-0.0,-1.0,14.0,214
2025-05-30 16:25:23,UBER,Uber,-0.96,-16.0,0.0,-0.0,1.0,-17.0,175
2025-05-30 16:25:31,MRK,Merck,0.86,12.0,0.0,-2.0,4.0,10.0,193
2025-05-30 16:25:33,AMD,Advanced,-2.57,29.0,0.0,-15.0,37.0,7.0,179
2025-05-30 16:24:47,GS,Goldman,-0.62,3.0,0.0,-1.0,4.0,0.0,184
2025-05-30 16:24:48,INTU,Intuit,-0.5,44.0,0.0,42.0,2.0,0.0,210
2025-05-30 16:25:34,VZ,Verizon,1.32,4.0,0.0,-4.0,3.0,5.0,185
2025-05-30 16:25:37,RTX,RTX,0.41,7.0,0.0,3.0,-0.0,4.0,181
2025-05-30 16:25:41,PEP,Pepsico,-0.28,-20.0,0.0,-7.0,-8.0,-5.0,180
2025-05-30 16:25:42,BX,Blackstone,-1.06,-7.0,0.0,-0.0,-2.0,-5.0,100
2025-05-30 16:25:43,ADBE,Adobe,0.16,1.0,0.0,1.0,0.0,0.0,176
2025-05-30 16:25:41,RY,Royal,0.95,-2.0,0.0,-1.0,1.0,-2.0,178
2025-05-30 16:25:36,BKNG,Booking,0.19,29.0,0.0,29.0,0.0,0.0,179
2025-05-30 16:25:33,TXN,Texas,-1.97,-8.0,0.0,0.0,-7.0,-1.0,165
2025-05-30 16:25:20,PGR,Progress,1.15,8.0,0.0,-2.0,4.0,6.0,164
2025-05-30 16:25:52,QCOM,Qualcomm,-2.02,1.0,0.0,1.0,-3.0,3.0,160
2025-05-30 16:25:53,CAT,Caterpillar,0.08,5.0,0.0,-3.0,3.0,5.0,166
2025-05-30 16:25:52,SCHW,Schwab,-0.23,-2.0,0.0,-2.0,1.0,-1.0,159
2025-05-30 16:25:52,SPGI,S&P,-0.4,0.0,0.0,4.0,-4.0,0.0,157
2025-05-30 16:25:56,BSX,Boston,0.05,-5.0,0.0,-4.0,-1.0,0.0,155
2025-05-30 16:25:52,TMO,Thermo,-0.15,25.0,0.0,0.0,25.0,0.0,152
2025-05-30 16:25:55,BA,Boeing,-1.23,32.0,0.0,2.0,21.0,9.0,155
2025-05-30 16:25:45,NEE,Nextera,1.12,21.0,0.0,9.0,3.0,9.0,144
2025-05-30 16:25:10,BLK,Blackrock,-0.27,8.0,0.0,-1.0,9.0,0.0,151
2025-05-30 16:26:05,SYK,Stryker,-0.18,-4.0,0.0,-3.0,1.0,-2.0,146
2025-05-30 16:26:05,TJX,Tjx,-0.38,3.0,0.0,-4.0,0.0,7.0,141
2025-05-30 16:26:02,AMGN,Amgen,1.08,-5.0,0.0,-20.0,-2.0,17.0,154
2025-05-30 16:26:09,DE,Deere,0.7,19.0,0.0,5.0,14.0,0.0,138
2025-05-30 16:26:08,SHOP,Shopify,-1.77,-20.0,0.0,0.0,-7.0,-13.0,137
2025-05-30 16:26:03,HON,Honeywell,-0.08,-20.0,0.0,4.0,-2.0,-22.0,145
2025-05-30 16:26:14,C,Citigroup,-0.73,-4.0,0.0,2.0,-3.0,-3.0,140
2025-05-30 16:25:42,DHR,Danaher,-0.56,7.0,0.0,-0.0,4.0,3.0,136
2025-05-30 16:26:14,UNP,Union,-0.09,-2.0,0.0,1.0,3.0,-6.0,132
2025-05-30 16:26:04,AMAT,Applied,-2.05,-7.0,0.0,-7.0,-0.0,-0.0,125
2025-05-30 16:26:06,CMCSA,Comcast,0.44,11.0,0.0,3.0,14.0,-6.0,129
2025-05-30 16:26:21,SPOT,Spotify,1.5,-4.0,0.0,-2.0,-2.0,0.0,132
2025-05-30 16:26:13,LOW,Lowes,0.06,30.0,0.0,19.0,8.0,3.0,126
2025-05-30 16:25:09,MELI,Mercadolibre,-0.03,-7.0,0.0,4.0,-11.0,0.0,129
2025-05-30 16:26:24,PFE,Pfizer,0.43,-11.0,0.0,2.0,-7.0,-6.0,134
2025-05-30 16:26:07,ADP,Automatic,0.23,8.0,0.0,6.0,2.0,-0.0,132
2025-05-30 16:26:15,ETN,Eaton,-1.58,-22.0,0.0,-3.0,-8.0,-11.0,125
2025-05-30 16:26:26,PANW,Palo,2.43,31.0,0.0,14.0,11.0,6.0,127
2025-05-30 16:26:32,GILD,Gilead,-0.78,1.0,0.0,4.0,-4.0,1.0,137
2025-05-30 16:26:32,APP,Applovin,-0.93,-36.0,0.0,-5.0,-27.0,-4.0,129
2025-05-30 16:26:33,ANET,Arista,-1.53,-17.0,0.0,-18.0,4.0,-3.0,107
2025-05-30 16:26:03,CHTR,Chartr,-1.12,-6.0,0.0,-2.0,-4.0,0.0,54
2025-05-30 16:26:38,CB,Chubb,0.5,4.0,0.0,2.0,2.0,-0.0,118
2025-05-30 16:24:58,RACE,Ferrari,-0.27,-2.0,0.0,0.0,-2.0,0.0,85
2025-05-30 16:26:29,GEV,GE,-0.47,-84.0,0.0,-49.0,-35.0,0.0,129
